Titre;Année;Réalisateur;Sous_genre;Note sur 10
Carrie la vengeance;2013;Kimberly Peirce;Psychologique;10
Cassandra;2025;Colin Eggleston;Psychologique;10
Dragon rouge;2002;Brett Ratner;Psychologique;10
Hannibal;2014;Bryan Fuller;Psychologique;10
Hannibal;2001;Ridley Scott;Psychologique;10
Hannibal Lecter: Les origines du mal;2007;Peter Webber;Psychologique;10
Joker;2019;Todd Phillips;Psychologique;10
Le silence des agneaux;1991;Jonathan demme;Psychologique;10
Misery;1990;Rob Reiner;Psychologique;10
Shinning;1980;Stanley Kubrick;Psychologique;10
La malédiction de la dame blanche;2019;Michael Chaves;Démoniaque;9
La none;2018;Corin Hardy;Démoniaque;9
Mister Babadouk;2014;Jennifer Kant;Surnaturel;9
Substance;2024;Coralie Fargeat;Body horror;9
The sadness;2021;Rob Jabbaz;Gore;9
Annabelle Comes Home;2019;Gary Dauberman;Démoniaque;8
Brick;2025;Philip Koch;Fantaisie;8
ça;2017;Andrés Muschietti;Fantaisie;8
Ça 2;2019;Andrés Muschietti;Fantaisie;8
Conjuring : les dossiers de Warren;2013;James Wan;Démoniaque;8
Conjuring : sous l’emprise du diable;2021;Michael Chaves;Démoniaque;8
Conjuring 2 : Le cas Enfield;2016;James Wan;Démoniaque;8
Doctor Sleep ;2019;Mick Flanagan;Fantaisie;8
Don’t move;2024;Adam Schindler Brian Netto;Psychologique;8
Haunting;1999;Jan de Bont;Surnaturel;8
Kadaver;2020;Jarand Herdal;Psychologique;8
L’abime de l’enfer;2022;Bartosz M. Kowalski;Possession;8
La none 2;2023;Michael Chaves;Démoniaque;8
La plateforme ;2019;Galder Gaztelu-Urrutia Munitxa;Gore;8
Les ordres du mal;2023;Paco Plaza;Possession;8
Malignant;2021;James Wan;Démoniaque;8
slenderMann;2018;Sylvain White;Démoniaque;8
Annabelle;2014;John R. Leonetti;Démoniaque;7
Annabelle : Creation;2018;David F. Sandberg;Démoniaque;7
don’t breath;2016;Fefe Alvarez;Psychologique;7
La main;2023;Michel Philippou Daniel Philippou;Possession;7
